system_id,model_id,judge_id,split_group,scenario_type,coverage_requested,coverage_achieved,false_accept_rate,accepted_count,false_accept_count,bad_count_total,mean_error_accepted,mean_error_rejected,threshold,is_real_judge,is_oracle,is_calibrated
cstr,hold_last,best_single_signal_selected_on_calibration,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,1.0,1.0,1.0,100,100,100,5.593005443875764,0.0,0.15,True,False,True
cstr,hold_last,rank_normalized_linear,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.05,0.05,1.0,5,5,100,4.838468238786502,5.632717928354147,0.15,True,False,True
cstr,hold_last,rank_normalized_linear,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.1,0.1,1.0,10,10,100,4.883094694228482,5.671884416058796,0.15,True,False,True
cstr,hold_last,rank_normalized_linear,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.2,0.2,1.0,20,20,100,4.915595973299118,5.762357811519925,0.15,True,False,True
cstr,hold_last,rank_normalized_linear,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.4,0.4,1.0,40,40,100,5.053524495525446,5.952659409442642,0.15,True,False,True
cstr,hold_last,rank_normalized_linear,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.6,0.6,1.0,60,60,100,5.2184455348950705,6.154845307346806,0.15,True,False,True
cstr,hold_last,rank_normalized_linear,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.8,0.8,1.0,80,80,100,5.411289178862743,6.319870503927845,0.15,True,False,True
cstr,hold_last,rank_normalized_linear,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,1.0,1.0,1.0,100,100,100,5.593005443875764,0.0,0.15,True,False,True
cstr,hold_last,logistic_calibrated_judge,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.05,0.05,1.0,5,5,100,4.8384682387865015,5.632717928354147,0.15,True,False,True
cstr,hold_last,logistic_calibrated_judge,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.1,0.1,1.0,10,10,100,4.883094694228481,5.671884416058796,0.15,True,False,True
cstr,hold_last,logistic_calibrated_judge,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.2,0.2,1.0,20,20,100,4.915595973299118,5.762357811519925,0.15,True,False,True
cstr,hold_last,logistic_calibrated_judge,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.4,0.4,1.0,40,40,100,5.053524495525446,5.952659409442643,0.15,True,False,True
cstr,hold_last,logistic_calibrated_judge,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.6,0.6,1.0,60,60,100,5.2184455348950705,6.154845307346806,0.15,True,False,True
cstr,hold_last,logistic_calibrated_judge,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.8,0.8,1.0,80,80,100,5.411289178862743,6.319870503927845,0.15,True,False,True
cstr,hold_last,logistic_calibrated_judge,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,1.0,1.0,1.0,100,100,100,5.5930054438757635,0.0,0.15,True,False,True
cstr,hold_last,isotonic_calibrated_judge,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.05,0.05,1.0,5,5,100,5.2130051972939455,5.613005456853754,0.15,True,False,True
cstr,hold_last,isotonic_calibrated_judge,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.1,0.1,1.0,10,10,100,5.446910095699828,5.609238260339757,0.15,True,False,True
cstr,hold_last,isotonic_calibrated_judge,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.2,0.2,1.0,20,20,100,5.5162745496564085,5.612188167430603,0.15,True,False,True
cstr,hold_last,isotonic_calibrated_judge,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.4,0.4,1.0,40,40,100,5.501409042252004,5.6540697116249365,0.15,True,False,True
cstr,hold_last,isotonic_calibrated_judge,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.6,0.6,1.0,60,60,100,5.575938295811748,5.618606165971786,0.15,True,False,True
cstr,hold_last,isotonic_calibrated_judge,combined_feed_and_cooling_shift,combined_feed_and_cooling_shift,0.8,0.8,1.0,80,80,100,5.563818262002444,5.709754171369042,0.15,True,False,True
