system_id,model_id,judge_id,coverage,bad_label_mode,false_accept_rate,event_false_accept_rate,accepted_count,accepted_bad_count,accepted_event_bad_count,event_precision,event_recall,event_bad_rate
cstr,linear_narx,best_single_signal_selected_on_calibration,0.1,bad_rmse,0.14285714285714285,0.0,70,10,0,0.0,0.0,0.0
cstr,linear_narx,best_single_signal_selected_on_calibration,0.1,bad_event,0.0,0.0,70,0,0,0.0,0.0,0.0
cstr,linear_narx,best_single_signal_selected_on_calibration,0.1,bad_rmse_or_event,0.14285714285714285,0.0,70,10,0,0.0,0.0,0.0
cstr,linear_narx,calibration_selected_candidate_ranker,0.05,bad_rmse,0.17142857142857143,0.0,35,6,0,0.0,0.0,0.0
cstr,linear_narx,calibration_selected_candidate_ranker,0.05,bad_event,0.0,0.0,35,0,0,0.0,0.0,0.0
cstr,linear_narx,calibration_selected_candidate_ranker,0.05,bad_rmse_or_event,0.17142857142857143,0.0,35,6,0,0.0,0.0,0.0
cstr,linear_narx,calibration_selected_candidate_ranker,0.1,bad_rmse,0.2,0.0,70,14,0,0.0,0.0,0.0
cstr,linear_narx,calibration_selected_candidate_ranker,0.1,bad_event,0.0,0.0,70,0,0,0.0,0.0,0.0
cstr,linear_narx,calibration_selected_candidate_ranker,0.1,bad_rmse_or_event,0.2,0.0,70,14,0,0.0,0.0,0.0
cstr,linear_narx,rank_normalized_linear,0.05,bad_rmse,0.14285714285714285,0.0,35,5,0,0.0,0.0,0.0
cstr,linear_narx,rank_normalized_linear,0.05,bad_event,0.0,0.0,35,0,0,0.0,0.0,0.0
cstr,linear_narx,rank_normalized_linear,0.05,bad_rmse_or_event,0.14285714285714285,0.0,35,5,0,0.0,0.0,0.0
cstr,linear_narx,rank_normalized_linear,0.1,bad_rmse,0.14285714285714285,0.0,70,10,0,0.0,0.0,0.0
cstr,linear_narx,rank_normalized_linear,0.1,bad_event,0.0,0.0,70,0,0,0.0,0.0,0.0
cstr,linear_narx,rank_normalized_linear,0.1,bad_rmse_or_event,0.14285714285714285,0.0,70,10,0,0.0,0.0,0.0
cstr,linear_narx,logistic_calibrated_judge,0.05,bad_rmse,0.14285714285714285,0.0,35,5,0,0.0,0.0,0.0
cstr,linear_narx,logistic_calibrated_judge,0.05,bad_event,0.0,0.0,35,0,0,0.0,0.0,0.0
cstr,linear_narx,logistic_calibrated_judge,0.05,bad_rmse_or_event,0.14285714285714285,0.0,35,5,0,0.0,0.0,0.0
cstr,linear_narx,logistic_calibrated_judge,0.1,bad_rmse,0.15714285714285714,0.0,70,11,0,0.0,0.0,0.0
cstr,linear_narx,logistic_calibrated_judge,0.1,bad_event,0.0,0.0,70,0,0,0.0,0.0,0.0
cstr,linear_narx,logistic_calibrated_judge,0.1,bad_rmse_or_event,0.15714285714285714,0.0,70,11,0,0.0,0.0,0.0
cstr,linear_narx,isotonic_calibrated_judge,0.05,bad_rmse,0.14285714285714285,0.0,35,5,0,0.0,0.0,0.0
cstr,linear_narx,isotonic_calibrated_judge,0.05,bad_event,0.0,0.0,35,0,0,0.0,0.0,0.0
cstr,linear_narx,isotonic_calibrated_judge,0.05,bad_rmse_or_event,0.14285714285714285,0.0,35,5,0,0.0,0.0,0.0
cstr,linear_narx,isotonic_calibrated_judge,0.1,bad_rmse,0.14285714285714285,0.0,70,10,0,0.0,0.0,0.0
cstr,linear_narx,isotonic_calibrated_judge,0.1,bad_event,0.0,0.0,70,0,0,0.0,0.0,0.0
cstr,linear_narx,isotonic_calibrated_judge,0.1,bad_rmse_or_event,0.14285714285714285,0.0,70,10,0,0.0,0.0,0.0
cstr,linear_narx,quantile_rule_judge,0.05,bad_rmse,0.14285714285714285,0.0,35,5,0,0.0,0.0,0.0
cstr,linear_narx,quantile_rule_judge,0.05,bad_event,0.0,0.0,35,0,0,0.0,0.0,0.0
cstr,linear_narx,quantile_rule_judge,0.05,bad_rmse_or_event,0.14285714285714285,0.0,35,5,0,0.0,0.0,0.0
